noise_mag,rx_I,rx_Q
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
0,1943,648
0,1943,1943
0,-1943,-1943
0,-1943,-648
0,-1943,648
0,-1943,1943
0,-648,-1943
0,-648,-648
0,-648,648
0,-648,1943
0,648,-1943
0,648,-648
0,648,648
0,648,1943
0,1943,-1943
0,1943,-648
