sym_idx,demod_I,demod_Q,locked
0,0,0,0
1,0,0,0
2,-2,0,0
3,4,1,0
4,-13,-5,0
5,14,-47,0
6,-39,11,0
7,-34,-9,0
8,679,716,0
9,695,716,0
10,654,603,0
11,733,631,0
12,609,654,0
13,545,1908,0
14,-1813,-1951,0
15,-1848,-2034,0
16,-1742,-2047,0
17,-1814,-2047,0
18,-719,592,0
19,744,-1842,0
20,-1816,-2047,0
21,-1896,-2033,0
22,-1854,-871,0
23,604,740,0
24,624,813,0
25,2046,-1773,0
26,-1744,-2047,0
27,-728,644,0
28,917,-1868,0
29,-1821,-859,0
30,566,665,0
31,-1745,-884,0
32,489,700,0
33,511,725,0
34,502,770,0
35,526,770,0
36,2016,-356,0
37,905,-1863,0
38,-1714,-2006,0
39,-1649,-2007,0
40,-1803,-840,0
41,2007,-1573,0
42,-2011,266,0
43,2006,-1595,0
44,-1640,-2008,0
45,-1024,1799,0
46,-2036,375,0
47,220,2040,0
48,-756,584,0
49,-1792,-997,0
50,2007,-1532,0
51,-2042,233,0
52,245,2006,0
53,-1408,-2013,0
54,2007,-1563,0
55,-2037,298,0
56,463,748,0
57,505,713,0
58,181,1990,0
59,-1676,-1108,0
60,458,760,0
61,1974,-1527,0
62,-1508,-1977,0
63,-686,523,0
64,1678,1052,0
65,676,-503,0
66,430,814,0
67,-1804,-1039,0
68,99,2043,0
69,-1309,-1986,0
70,-1404,-1949,0
71,-798,456,0
72,2025,-66,0
73,1709,1110,0
74,943,-1685,0
75,-1724,-1074,0
76,125,2033,0
77,2035,-194,0
78,1145,-1715,0
79,-880,505,0
80,430,760,0
81,2015,-169,0
82,1315,1925,0
83,-1898,1336,0
84,-779,490,0
85,-1752,-1066,0
86,2040,-166,0
87,1675,1025,0
88,791,-432,0
89,1876,-1291,0
90,1867,-1351,0
91,-488,-832,0
92,1158,-1701,0
93,-1860,-1155,0
94,1994,-271,0
95,-1361,-1842,0
96,-820,449,0
97,1730,1018,0
98,193,1943,0
99,-748,471,0
100,-1984,162,0
101,126,-2035,0
102,-1298,-1807,0
103,206,1990,0
104,-1305,-1805,0
105,-1729,-1115,0
106,505,800,0
107,495,730,0
108,2007,-162,0
109,1020,-1753,0
110,-764,482,0
111,1076,-1823,0
112,-1768,-1047,0
113,1792,-1194,0
114,-1762,1309,0
115,-814,425,0
116,396,804,0
117,189,-2016,0
118,2022,216,0
119,-2041,-297,0
120,1766,1132,0
121,-1245,-1745,0
122,-794,410,0
123,-1722,1263,0
124,-1747,-1115,0
125,561,788,0
126,-759,491,0
127,990,-1738,0
128,-1610,1515,0
129,2045,373,0
130,265,-2021,0
131,-1723,-970,0
132,247,-2026,0
133,-1186,-1725,0
134,2041,291,0
135,531,678,0
136,1741,926,0
137,1773,1138,0
138,961,-1716,0
139,468,785,0
140,2020,-269,0
141,-1783,-1059,0
142,1704,-1179,0
143,-227,2045,0
144,-789,547,0
145,1807,1011,0
146,-265,-1978,0
147,-1683,1209,0
148,-1775,-963,0
149,-995,1858,0
150,-1709,1145,0
151,-939,1783,0
152,-1196,-1683,0
153,-1855,-965,0
154,1170,1688,0
155,-500,-736,0
156,1051,-1740,0
157,958,-1804,0
158,-1003,1774,0
159,1235,1642,0
160,-2029,301,0
161,1633,-1243,0
162,1673,-1177,0
163,-1648,1223,0
164,-473,-784,0
165,1199,1661,0
166,-551,-734,0
167,-1758,-1033,0
168,2010,-312,0
169,-1654,1210,0
170,-1680,1170,0
171,-1222,-1645,0
172,920,-1884,0
173,-676,550,0
174,1161,1685,0
175,991,-1746,0
176,-787,656,0
177,-1197,-1661,0
178,-1024,1834,0
179,-237,-2046,0
180,-270,-2037,0
181,-379,-2020,0
182,497,730,0
183,1974,-274,0
